country,country_name,oecd_member,eu_member,election_date,party,party_name,party_abbrev,party_fam,percent_vote,absol_seats,total_seats,percent_uncoded,bonds_positive,bonds_negative,anti_imperialism,milit_positive,milit_negative,peace,intl_positive,ec_eu_positive,intl_negative,ec_eu_negative,freedom_hr,democracy,constit_positive,constit_negative,decentralize,centralize,gvmt_efficiency,corruption,polit_authority,free_market,incentives,regulation,econ_planning,state_collab,protect_positive,protect_negative,econ_goals,demand_side,econ_growth,infrastruct_tech,controlled_econ,nationalization,econ_orthodoxy,marxism,anti_growth,environ,culture,equality,welfare_state,welfare_less,education,education_less,nation_positive,nation_negative,moralism,moralism_negative,law_and_order,civic_mind,multiculture,multiculture_negative,labor_positive,labor_negative,agriculture,white_collar,marginalized_general,demographic_groups,axis_position,plan_eco,mark_eco,welfare,int_peace
11,Sweden,Non-member,Non-member,1952-09-21,11220,Communist Party of Sweden,SKP,Leftist,4.34,5,230,NA,3.3,4.4,3.3,0,3.3,33,2.2,0,1.1,2.2,9.9,2.2,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,6.600000000000001,0,0,0,2.2,0,3.3,0,0,0,0,1.1,7.7,0,0,0,3.3,0,0,0,0,0,0,0,2.2,0,0,0,0,0,-40.7,3.3,3.3,8.8,40.7
11,Sweden,Non-member,Non-member,1952-09-21,11320,Social Democratic Labour Party,SAP,Social Democratic,46.047,110,230,NA,2.5,0,0,3.3,0,2.5,1.7,0,0,0,2.5,6.7,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.8,5.8,0.8,4.2,0.8,0,4.2,0,0,0,1.7,3.3,17.5,0,8.3,0,0,0,0,0,0,0,0.8,0,0,0,13.3,0,0,0,-28.3,1.6,4.2,20.8,2.5
11,Sweden,Non-member,Non-member,1952-09-21,11420,People’s Party,FP,Liberal,24.442,58,230,NA,0.9,0,0,0.9,0,0.9,0.9,0,0,0,3.8,2.8,0,0,0,0,0.9,0,0,7.600000000000001,1.9,0.9,0,0,0,0,4.7,0.9,0.9,0.9,0,0,8.5,0,0,0,0,4.7,17,9.4,3.8,0,0,0,9.4,0,0.9,0,2.8,0,0,0,2.8,0,0,0.9,16.1,0.9,16.1,21.7,0.9
11,Sweden,Non-member,Non-member,1952-09-21,11620,Right Party,NA,Conservative,14.373,31,230,NA,0,0,0,0,0,0,0,0,0,0,9,4.1,0,0,4.9,0,0,0,0,9.8,4.9,0,0,0,0,0,5.7,0,0,0,0,0,22.1,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,31.9,0.8,0
11,Sweden,Non-member,Non-member,1952-09-21,11810,Agrarian Party,NA,Agrarian,10.735,26,230,NA,0,0,0,1.3,0,2.7,1.3,0,0,0,0,0,0,0,2.7,0,0,0,0,2.7,4.1,0,0,2.7,0,0,1.3,2.7,4.1,6.8,0,0,10.8,0,0,1.3,1.3,4.1,9.5,1.3,8.1,0,1.3,0,1.3,0,0,0,2.7,0,0,0,18.9,0,0,0,1.2,0,13.5,13.6,2.7
11,Sweden,Non-member,Non-member,1956-09-26,11220,Communist Party of Sweden,SKP,Leftist,5.001,6,231,NA,0.8,0,0,0,4.2,9.2,0,0,0,0,0,7.600000000000001,0,0,0,0,0.8,0,0,0,5.9,3.4,0,0,0.8,0.8,6.7,0,0,0,6.7,4.2,0.8,0,0,0,1.7,10.9,12.6,0,4.2,0,0,0,0,0,0,0,0,0,0.8,0,2.5,0,0,4.2,-46.2,10.1,0.8,23.5,13.4
11,Sweden,Non-member,Non-member,1956-09-26,11320,Social Democratic Labour Party,SAP,Social Democratic,44.581,106,231,NA,0.6,0,0,0,0,2.9,2.3,0,0,0,2.3,3.5,0,0,0,0,0,0,0,0,2.3,5.8,0.6,0,1.2,0,5.8,2.3,2.3,1.7,1.7,0,3.5,0,0,0,3.5,2.9,24.4,0,8.700000000000001,0,0,0,0,0,0,0,0.6,0,1.2,0,7.600000000000001,0,0,3.5,-44.2,8.1,3.5,27.3,2.9
11,Sweden,Non-member,Non-member,1956-09-26,11420,People’s Party,FP,Liberal,23.807,58,231,NA,0.7000000000000001,0,0,0.7000000000000001,2.1,0.7000000000000001,1.4,0.7000000000000001,0,0,5.5,4.8,0,1.4,1.4,0,3.4,0,0,3.4,8.2,2.1,0.7000000000000001,0.7000000000000001,0,0,3.4,0.7000000000000001,0,0,0,0,3.4,0,0,0.7000000000000001,0,3.4,18.5,0,9.6,0,0,0,0,0,1.4,0,1.4,0,0,0,5.5,0.7000000000000001,0,6.2,-17.3,2.8,6.8,21.9,2.8
11,Sweden,Non-member,Non-member,1956-09-26,11620,Right Party,NA,Conservative,17.108,42,231,NA,0,0,0,0,0,0,0,0,0,0,12.8,2.6,0,0,0,0,0,0,0,7.7,12.8,0,0,0,0,0,0,0,0,7.7,0,0,28.2,0,0,0,0,0,10.3,5.100000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,0,35.9,10.3,0
11,Sweden,Non-member,Non-member,1956-09-26,11810,Agrarian Party,NA,Agrarian,9.45,19,231,NA,0.9,0,0,1.8,0.9,2.7,0,0,0,0,0,0,0,0,1.8,0,0.9,0,0,2.7,7.100000000000001,0,0,0,1.8,0,1.8,1.8,2.7,1.8,0,0,3.6,0,0,0.9,0.9,1.8,5.4,0,7.100000000000001,0,0.9,0,2.7,0,0.9,0,0.9,0,0,0,36.6,0,0,2.7,1.8,0,6.3,7.2,3.6
11,Sweden,Non-member,Non-member,1958-06-01,11220,Communist Party of Sweden,SKP,Leftist,3.364,5,231,NA,0,0,0,0,10.3,0.2,0,0,0,0,0,0.5,0,0,3,0,0,0,0,0,0.2,2.8,0.2,0,0,0,3.7,0,0,6.100000000000001,0.5,0,2.8,0,0,1.9,14.5,4,26.3,0,7.9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,-41.7,3.5,2.8,30.3,10.5
11,Sweden,Non-member,Non-member,1958-06-01,11320,Social Democratic Labour Party,SAP,Social Democratic,46.216,111,231,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,2,5.2,1.2,0.5,0,1.3,0,2.8,0.8,2,4.3,0,0,0.7000000000000001,0,0,0,0,3.2,22.5,0.2,8,0,0,0,0,0,0,1,0,0,0.3,0,4.8,0,0,0,-24.7,1.7,2.7,25.7,0
11,Sweden,Non-member,Non-member,1958-06-01,11420,People’s Party,FP,Liberal,18.209,38,231,NA,0,0,0,2,2,3.9,3.9,2,0,0,7.8,2,0,0,2,0,2,0,0,5.9,17.7,0,0,0,0,0,0,0,2,3.9,0,0,5.9,0,0,0,0,0,9.8,3.9,5.9,0,0,0,5.9,0,0,0,2,0,0,0,0,0,0,2,21.6,0,11.8,9.8,5.9
11,Sweden,Non-member,Non-member,1958-06-01,11620,Right Party,NA,Conservative,19.518,45,231,NA,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.5,0,0,0.8,2.3,0,0,0,0,0,0,0,0,0.8,0,0,49.2,0,0,0,0,0,8.5,11.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,0,50,8.5,0
11,Sweden,Non-member,Non-member,1958-06-01,11810,Centre Party,CP,Agrarian,12.662,32,231,NA,0,0,0,0.8,0,0.8,1.6,0,0,0,0,0,0,0,7.100000000000001,0,0.8,0,0,7.100000000000001,11.9,1.6,0,0,0.8,0,0,4,0.8,2.4,0,0,6.4,0,0,0,1.6,1.6,15.1,3.2,1.6,0,0,0,3.2,0,0.8,0,0.8,0,0,0,14.3,0,0,4,11.9,1.6,13.5,16.7,0.8
11,Sweden,Non-member,Non-member,1960-09-18,11220,Communist Party of Sweden,SKP,Leftist,4.479,5,232,NA,0,0,0,0,9.5,13.1,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,7.100000000000001,0,1.2,0,2.4,1.2,5.9,0,0,0,0,2.4,7.100000000000001,0,3.6,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,1.2,-40.5,10.7,5.9,9.5,22.6
11,Sweden,Non-member,Non-member,1960-09-18,11320,Social Democratic Labour Party,SAP,Social Democratic,47.789,114,232,NA,0,0,0,0.3,0,3.1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,2.9,0,0,0,0,0.8,0,0.5,0,1.3,0,0.5,0,0,0,0.3,2.3,43.9,0,11,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,7.100000000000001,-61.4,4.2,0.5,46.2,3.1
11,Sweden,Non-member,Non-member,1960-09-18,11420,People’s Party,FP,Liberal,17.492,40,232,NA,0,2.2,0,2.2,0,4.4,4.4,2.2,0,0,0,2.2,0,0,0,0,0,0,0,6.5,6.5,0,0,0,0,2.2,2.2,0,0,0,0,0,10.9,0,0,0,0,6.5,10.9,0,6.5,0,0,0,6.5,0,2.2,0,4.4,0,0,0,0,0,0,4.4,8.6,0,17.4,17.4,6.600000000000001
11,Sweden,Non-member,Non-member,1960-09-18,11620,Right Party,NA,Conservative,16.557,39,232,NA,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0.6,0,0,4.2,5.4,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,1.1,1.1,2,0.3,0,0,0,1.1,0,0.3,0,0,0,0,0,13.8,0,0,0.6,34.8,0,22.6,2.2,0
11,Sweden,Non-member,Non-member,1960-09-18,11810,Centre Party,CP,Agrarian,13.611,34,232,NA,0,0,0,0.6,0,1.9,0.6,0,0,0,2.5,0.6,1.2,0.6,3.7,0,5.600000000000001,0,0,6.2,6.2,0.6,0,0,2.5,0.6,0,0,2.5,1.2,0,0,11.8,0,0,0,1.9,1.2,19.3,1.2,5,0,0,0,3.7,0,2.5,0,0.6,0,0,0,6.2,0,0,3.1,6,0.6,18,20.5,1.9
11,Sweden,Member,Non-member,1964-09-20,11220,Communist Party of Sweden,SKP,Leftist,5.223,8,233,NA,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,6.9,5.2,0,0,0,0,0,1.7,0,5.2,13.8,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,17.3,0,15.5,0
11,Sweden,Member,Non-member,1964-09-20,11320,Social Democratic Labour Party,SAP,Social Democratic,47.269,113,233,NA,0,0,0.9,0,0,0,0,2.2,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0.8,1.3,0.2,0,0,0.2,1.1,0.2,1.8,0.6,0.2,0,0.1,0,0,0,0.3,7.2,23.1,0,10.9,0,0,0,0,0,0,1.9,0.4,0,0.5,0,0,0,0,1.4,-33.6,1.7,0.1,30.3,0
11,Sweden,Member,Non-member,1964-09-20,11420,People’s Party,FP,Liberal,16.975,42,233,NA,0,0,0,0,0,0,21.3,0,0,0,1.9,9.7,0,0,0,0,0,0.5,0,1,0.5,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,5.3,10.6,16.4,0,4.4,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,1,-48.9,1,1,27,0
11,Sweden,Member,Non-member,1964-09-20,11620,Right Party,NA,Conservative,13.722,32,233,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4,0,60.4,0,0
11,Sweden,Member,Non-member,1964-09-20,11810,Centre Party,CP,Agrarian,13.181,33,233,11.915,0,0,0,0.426,0,0.426,0.426,0,0,0,1.277,1.702,0,0,2.553,0,3.404,0,0,5.532,7.234,0,0,0,0,0,0,0,4.255,2.128,0,0,3.83,0,0,4.681,3.404,0.851,22.553,0,10.213,0,0,0,1.702,0,1.277,0,0,0,0,0,7.234,0.851,0,2.128,-14.043,0,9.362,23.404,0.426
11,Sweden,Member,Non-member,1968-09-15,11220,Left Communists Party,VPK,Leftist,3.006,3,233,NA,0.5,0,8.2,0,1,0,6.3,0,0,0.5,1.5,8.2,0,0,0,0,0.5,0,0,0,0,7.3,0,0,0,0,0,0,1.9,0,5.3,4.8,0,0,0,1.5,0,12.1,5.3,0,1,0,0,0,0,0,0.5,0,0,0,1.5,0,0.5,0,1,1,-46.9,12.6,0,17.4,1
11,Sweden,Member,Non-member,1968-09-15,11320,Social Democratic Labour Party,SAP,Social Democratic,50.116,125,233,NA,0,0,0,1.8,3.6,5.4,1.8,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,3.6,0,1.8,0,0,0,0,0,0,5.4,0,12.5,19.6,0,1.8,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,1.8,-42.9,10.7,0,32.1,9
11,Sweden,Member,Non-member,1968-09-15,11420,People’s Party,FP,Liberal,14.256,32,233,NA,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,4.1,1,0,0,3.1,0,4.1,1,0,0,1,0,0,0,0,1,45.4,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-59.9,4.1,2,46.4,0
11,Sweden,Member,Non-member,1968-09-15,11620,Right Party,NA,Conservative,12.859,29,233,NA,2.5,0,0,0,0,0.4,0,0.8,0,0,1.6,3.3,0,0,0,0,0,0,0,5.3,10.7,1.2,0,0,0,0,1.6,0,1.2,0,0,0,9.4,0,0,0,0,2.9,3.3,0,0,0,0,0,0.4,0,6.600000000000001,0,0,0,0,0,0,0,0,1.6,25.8,1.2,14.7,6.2,0.4
11,Sweden,Member,Non-member,1968-09-15,11810,Centre Party,CP,Agrarian,15.679,37,233,NA,0.8,0,0,0.2,0,1.1,4.5,0.2,0,0,0.3,1.5,0,0.3,6.100000000000001,0,0.3,0,0,2.8,7,1.9,4,0.6,0,1.1,2.8,1.5,3.9,1.9,0,0,1.2,0,0,4.2,1.9,5.600000000000001,10.5,0.3,7.9,0,0,0,2.9,0,4,0,2.5,0,0,0,4.600000000000001,0,0.8,6.100000000000001,-11.6,5.9,4,16.1,1.1
11,Sweden,Member,Non-member,1970-09-20,11220,Left Communists Party,VPK,Leftist,4.756,17,350,NA,0,0,0,0,0,0,0,0,0,1.3,0,5.100000000000001,0,0,0,0,0,0,0,0,1.3,11.5,0,0,0,0,1.3,0,3.8,0,15.4,3.8,0,0,0,11.5,2.6,12.8,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1.3,0,0,0,0,-40.9,26.9,0,12.8,0
11,Sweden,Member,Non-member,1970-09-20,11320,Social Democratic Labour Party,SAP,Social Democratic,45.343,163,350,NA,0.5,0,0,0,0,4.1,4.600000000000001,0.5,0,0,0,5.100000000000001,0,0,5.600000000000001,0,0,0,0,0,1,8.1,1,0.5,0,0.5,2.5,1.5,4.1,0.5,1,0,1.5,0,0,7.100000000000001,0.5,16.8,13.7,0,4.1,0,0,0,0,0,0,0,1,0,2.5,0,0.5,1,0,3.1,-41.2,10.1,1.5,30.5,4.1
11,Sweden,Member,Non-member,1970-09-20,11420,People’s Party,FP,Liberal,16.211,58,350,NA,0,0,0,0,0,3.3,2.4,0,0,0,0.8,10.6,0,1.6,1.6,0,0.8,0,0,0.8,1.6,5.7,3.3,0.8,0,0,1.6,0.8,2.4,0.8,0,0,1.6,0,0,8.9,0,8.9,14.6,0,3.3,0,0,0,1.6,0,3.3,0,0,0,0,1.6,0,0,0.8,4.9,-33.5,9,2.4,23.5,3.3
11,Sweden,Member,Non-member,1970-09-20,11620,Moderate Coalition Party,MSP,Conservative,11.531,41,350,NA,0,0,0,0,0,0,0,0,0,0,8.5,12.8,0,0,2.1,0,2.1,2.1,0,4.3,4.3,0,0,0,0,0,2.1,0,0,0,0,0,6.4,0,0,2.1,0,6.4,10.6,0,6.4,0,0,0,8.5,0,4.3,4.3,0,0,0,0,2.1,0,0,4.3,10.8,0,10.7,17,0
11,Sweden,Member,Non-member,1970-09-20,11810,Centre Party,CP,Agrarian,19.919,71,350,NA,2.1,0,0,0,0,2.1,2.1,1,0,0,0,6.3,0,0,13.5,0,1,0,0,3.1,11.5,5.2,4.2,0,0,0,0,0,4.2,0,1,0,2.1,0,0,5.2,0,6.3,14.6,0,1,0,0,0,3.1,0,2.1,0,0,0,0,0,4.2,0,0,2.1,-14.6,10.4,5.2,20.9,2.1
11,Sweden,Member,Non-member,1973-09-16,11220,Left Communists Party,VPK,Leftist,5.328,19,350,NA,0.8,0,0,0,1.7,0,5.8,0,0,2.5,2.5,6.600000000000001,0,2.5,0.8,0.8,0,0,0,0.8,0.8,8.3,0.8,0,0.8,0,1.7,0,1.7,2.5,3.3,4.1,0,0,0,9.9,0,2.5,8.3,0,5.8,0,0,0,0,0,1.7,0,3.3,0,3.3,0,0,0,0.8,1.7,-43,12.4,0.8,10.8,1.7
11,Sweden,Member,Non-member,1973-09-16,11320,Social Democratic Labour Party,SAP,Social Democratic,43.559,156,350,NA,0,0,0,0,0,2.6,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,5.100000000000001,0,0,0,0,7.7,0,0,0,0,0,5.100000000000001,0,0,0,0,10.3,12.8,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,-7.7,5.100000000000001,5.100000000000001,23.1,2.6
11,Sweden,Member,Non-member,1973-09-16,11420,People’s Party,FP,Liberal,9.419,34,350,NA,0,0,0,0,0,0,2,0,0,0,4.7,8.700000000000001,0.7000000000000001,1.3,6.7,0.7000000000000001,0,0,0,4,1.3,4.7,1.3,1.3,0,0,3.4,2,2,3.4,0,0,4,0,0,12.1,0,6,7.4,0,4.7,0,0,0,1.3,0,1.3,0,1.3,0,0,0,0,0,0.7000000000000001,1.3,-11.5,6,8,13.4,0
11,Sweden,Member,Non-member,1973-09-16,11620,Moderate Coalition Party,MSP,Conservative,14.294,51,350,NA,0,0,0,1.3,0,2.6,0,0,0,0,2.6,2.6,0,1.3,2.6,0,0,0,0,11.8,7.9,0,0,0,0,0,1.3,0,1.3,0,0,0,3.9,0,0,6.600000000000001,0,10.5,10.5,0,9.2,0,0,0,6.600000000000001,0,7.9,2.6,1.3,0,0,0,1.3,0,0,1.3,19.7,0,15.7,21,2.6
11,Sweden,Member,Non-member,1973-09-16,11810,Centre Party,CP,Agrarian,25.101,90,350,NA,0.6,0,0,0.6,0,1.2,1.2,0,0,0,0.6,7.5,0.6,1.2,14.4,0,0,0,0,0,4,8,1.7,0,0,0,4.600000000000001,4,0,1.7,0,0,1.2,0,0,6.9,0.6,5.2,12.6,0,4.600000000000001,0,0,0,4.600000000000001,0,1.2,0,2.3,0,0,0,3.4,0,0,4,-24,9.7,1.2,17.8,1.2
11,Sweden,Member,Non-member,1976-09-19,11220,Left Communists Party,VPK,Leftist,4.753,17,349,NA,0,0,0,0,2.7,6.5,1.6,0,0,0,1.1,2.7,0.5,0,0,0.5,0,0,0,0,1.6,13.5,0.5,0,0.5,0,2.7,0,0.5,1.1,5.4,4.9,0,0,0,11.9,1.6,10.8,2.7,0.5,0.5,0,0,0,0,0,1.1,0,0,0,1.6,0,0,0,2.7,5.4,-38.3,19.4,0,13.5,9.2
11,Sweden,Member,Non-member,1976-09-19,11320,Social Democratic Labour Party,SAP,Social Democratic,42.749,152,349,NA,0,0,0,0,0,8.6,4.3,0,0,0,0,4.3,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,14.3,0,4.3,4.3,0,0,10,0,0,4.3,0,5.7,10,0,2.9,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,1.4,-11.5,0,10,15.7,8.6
11,Sweden,Member,Non-member,1976-09-19,11420,People’s Party,FP,Liberal,11.063,39,349,NA,0,0,0,0,0,0.7000000000000001,2.8,0,0,0,7,7.7,1.4,0,5.600000000000001,0,0.7000000000000001,0,0,2.1,2.1,6.3,0,0,0,0.7000000000000001,0.7000000000000001,3.5,1.4,2.1,0,0,3.5,0,0,11.2,4.2,3.5,0,0,0,0,0,0,1.4,0,0,0,4.2,0,2.8,0,0,0,0,18.9,-2.1,6.3,5.600000000000001,3.5,0.7000000000000001
11,Sweden,Member,Non-member,1976-09-19,11620,Moderate Coalition Party,MSP,Conservative,15.589,55,349,NA,0,0,0,1,0,1.9,0,0,0,0,10.7,7.8,0,1,1,0,1,0,0,8.700000000000001,4.9,1.9,0,0,0,0,2.9,0,2.9,0,0,0,3.9,0,0,1,4.9,2.9,12.6,0,8.700000000000001,0,0,0,1,0,4.9,0,1,0,0,0,1.9,0,0,3.9,2.2,1.9,12.6,15.5,1.9
11,Sweden,Member,Non-member,1976-09-19,11810,Centre Party,CP,Agrarian,24.085,86,349,NA,0.3,0,0,0.3,0,1.3,1,0,0,0,2,3,0,0,15.2,0,0.7000000000000001,0,0,0.7000000000000001,4.4,3.7,1,0,0,0,2.4,0,1.3,0,1,0,0.7000000000000001,0,0,17.2,0.7000000000000001,5.100000000000001,17.6,0,3.4,0,0,0,4.4,0,2,0,1.3,0,0.7000000000000001,0,4.4,0,0.7000000000000001,0.7000000000000001,-18.2,5.7,1.4,22.7,1.3
11,Sweden,Member,Non-member,1979-09-16,11220,Left Communists Party,VPK,Leftist,5.605,20,349,NA,0,0,0,0,1.2,3.7,4.9,0,0,0,0,6.600000000000001,1.2,0,0,0.4,0.8,0,0,0,0,4.9,0.4,0,0.4,0,5.4,0,1.7,1.2,10.3,4.1,0,0,0,7.4,0.8,14.4,10.3,0,1.7,0,0,0,1.7,0,0.8,0,0,0,2.5,0,0,0,1.7,4.1,-47.3,15.6,0,24.7,4.9
11,Sweden,Member,Non-member,1979-09-16,11320,Social Democratic Labour Party,SAP,Social Democratic,43.244,154,349,NA,0,0,0,0,0,4.600000000000001,4,0,0,0,0,3.3,0,0,1.3,0,0,0,0,0,0.7000000000000001,4,0,0,0,0,6,0,4,0.7000000000000001,0.7000000000000001,0,9.9,0,0,7.3,0,7.3,15.2,0,2.7,0,0,0,1.3,0,2,5.3,0.7000000000000001,0,0,0,0,0,1.3,3.3,-15.3,4.7,9.9,22.5,4.600000000000001
11,Sweden,Member,Non-member,1979-09-16,11420,People’s Party,FP,Liberal,10.591,38,349,NA,0.2,0,0,0,0,0.9,3.7,0.2,0,0,1.5,2,0.2,0,1.7,0.2,3.7,0,0,1.3,1.5,1.7,0,0.4,0,1.3,4.600000000000001,5.2,3,0.2,0.4,0,1.7,0,0,12.5,0.9,7.600000000000001,12.5,0,5.600000000000001,0,0,0,3,0,1.1,0,2.2,0,0,0,0,0,3.3,4.8,-15.2,2.1,3,20.1,0.9
